,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,LTIMindtree,3.8,6200.0,76400.0,788.0,35.0
1,Startek,3.2,6100.0,23400.0,275.0,41.0
2,Mphasis,3.5,6100.0,58600.0,417.0,70.0
3,Ericsson,4.3,6000.0,43600.0,243.0,26.0
4,PwC,3.7,6000.0,66100.0,686.0,554.0
5,Maruti Suzuki,4.2,5900.0,27000.0,398.0,33.0
6,HDFC Life,4.1,5700.0,24400.0,307.0,93.0
7,Yes Bank,3.9,5600.0,39600.0,262.0,31.0
8,Asian Paints,4.1,5600.0,20400.0,405.0,144.0
9,Dr. Reddy's,4.2,5500.0,23600.0,236.0,287.0
10,Cipla Pharmaceutical,4.1,5500.0,23600.0,318.0,28.0
11,Sutherland Global Services,3.8,5400.0,26600.0,312.0,196.0
12,NTT DATA,4.0,5200.0,49200.0,376.0,128.0
13,ICICI Prudential Life Insurance,4.1,5100.0,21500.0,248.0,21.0
14,EXL Service,3.8,5100.0,32500.0,380.0,454.0
15,Jana Small Finance Bank,3.8,5100.0,15800.0,153.0,93.0
16,UltraTech Cement,4.2,5000.0,20500.0,300.0,38.0
17,HCL Group,3.7,5000.0,71700.0,246.0,1.0
18,Udaan,4.0,5000.0,19500.0,278.0,295.0
19,Lupin,4.1,5000.0,21700.0,223.0,16.0
