,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,Cummins,4.4,3100.0,14400.0,162.0,15.0
1,BNY Mellon,4.1,3100.0,26400.0,164.0,768.0
2,Future Group,4.2,3100.0,12800.0,63.0,16.0
3,Intelenet Global Services,3.7,3100.0,10200.0,30.0,0.0
4,SMFG India Credit,4.1,3100.0,10400.0,81.0,71.0
5,Coforge,3.6,3100.0,28800.0,225.0,171.0
6,IQVIA,4.1,3100.0,23400.0,246.0,41.0
7,Nagarro,4.3,3100.0,18600.0,379.0,84.0
8,Amdocs,4.0,3000.0,30700.0,301.0,6.0
9,ICICI Lombard General Insurance Company,3.8,3000.0,15000.0,141.0,81.0
10,UST,3.8,3000.0,32400.0,223.0,166.0
11,Virtusa Consulting Services,3.8,3000.0,42600.0,260.0,109.0
12,GlobalLogic,3.8,3000.0,28100.0,257.0,93.0
13,Schneider Electric,4.1,3000.0,19900.0,177.0,216.0
14,CBRE,4.2,3000.0,15100.0,130.0,91.0
15,Samsung,4.1,3000.0,17800.0,282.0,158.0
16,JBM Group,4.0,2900.0,13200.0,160.0,1.0
17,Dell,4.1,2900.0,24600.0,212.0,128.0
18,Ecom Express,4.1,2900.0,8500.0,120.0,46.0
19,State Bank of India,3.8,2900.0,10700.0,139.0,186.0
