,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,Ujjivan Small Finance Bank,4.1,4000.0,12300.0,131.0,67.0
1,OPPO,3.9,4000.0,14700.0,153.0,21.0
2,JSW Steel,3.9,4000.0,22700.0,304.0,57.0
3,Shapoorji Pallonji Group,4.2,4000.0,14900.0,206.0,28.0
4,Max Life Insurance,4.1,3900.0,15800.0,167.0,521.0
5,Shriram Transport Finance,4.1,3900.0,9300.0,138.0,0.0
6,Muthoot Finance,3.6,3900.0,11700.0,146.0,197.0
7,Ashok Leyland,4.1,3900.0,19200.0,143.0,1.0
8,Oracle,3.9,3900.0,50100.0,457.0,212.0
9,Vivo,4.0,3800.0,14700.0,129.0,7.0
10,eClerx,3.5,3800.0,25600.0,276.0,67.0
11,Aurobindo Pharma,4.0,3800.0,21400.0,151.0,8.0
12,Apollo Hospitals,4.1,3800.0,16100.000000000002,174.0,50.0
13,Siemens,4.2,3800.0,27300.0,223.0,1400.0
14,Tata Projects,4.2,3800.0,18800.0,231.0,27.0
15,Zydus Cadila,4.2,3800.0,14400.0,141.0,51.0
16,Capgemini Technology Services India Limited,4.0,3800.0,42000.0,313.0,2.0
17,JLL,4.2,3700.0,19000.0,175.0,22.0
18,First Source,3.8,3700.0,19500.0,155.0,84.0
19,JustDial,3.5,3600.0,15200.0,205.0,105.0
