,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,L&T Finance,3.9,2700.0,10700.0,72.0,0.0
1,Whitehat jr,3.6,2600.0,9400.0,278.0,514.0
2,Intas Pharmaceuticals,4.2,2600.0,13600.0,120.0,53.0
3,Thermax Limited,4.2,2600.0,12000.0,132.0,13.0
4,Varun Beverages,4.0,2600.0,9300.0,121.0,48.0
5,Ford Motor,4.5,2500.0,14000.0,70.0,84.0
6,Sodexo,4.1,2500.0,9800.0,91.0,105.0
7,Hetero Drugs,3.8,2500.0,13200.0,132.0,32.0
8,UnitedHealth,4.2,2500.0,23300.0,62.0,10.0
9,Randstad,3.9,2500.0,13000.0,150.0,2300.0
10,Deutsche Bank,4.1,2500.0,28500.0,192.0,756.0
11,Abbott Healthcare,4.1,2500.0,10900.0,92.0,213.0
12,Subros,4.0,2500.0,12000.0,94.0,3.0
13,Macleods Pharmaceuticals,3.8,2500.0,13100.0,100.0,23.0
14,VE Commercial Vehicles,4.0,2500.0,12600.0,116.0,10.0
15,Automatic Data Processing (ADP),4.2,2500.0,19200.0,124.0,46.0
16,American Express,4.3,2400.0,19200.0,197.0,109.0
17,CARS24,3.6,2400.0,11400.0,200.0,285.0
18,Havells,4.1,2400.0,11900.0,97.0,75.0
19,Pidilite Industries,4.4,2400.0,9000.0,109.0,30.0
