,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,TCS,3.8,63500.0,734700.0,5300.0,45.0
1,Accenture,4.1,40500.0,513100.0,3600.0,15100.0
2,Cognizant,3.9,36900.0,497500.0,3200.0,618.0
3,Wipro,3.8,33700.0,370000.0,3100.0,1000.0
4,ICICI Bank,4.0,29900.0,137000.0,1600.0,201.0
5,HDFC Bank,3.9,29500.0,125800.0,1300.0,422.0
6,Infosys,3.9,27800.0,417800.0,4300.0,901.0
7,Capgemini,3.9,25800.0,337900.0,2200.0,663.0
8,Tech Mahindra,3.7,24200.0,236500.0,2100.0,1300.0
9,HCLTech,3.7,23400.0,250000.0,2100.0,702.0
10,Genpact,4.0,23200.0,176300.0,1700.0,614.0
11,Axis Bank,3.8,19700.0,94100.0,961.0,304.0
12,Concentrix Corporation,3.9,18900.0,96800.0,917.0,174.0
13,Amazon,4.2,18100.0,119300.0,3000.0,701.0
14,Reliance Jio,3.9,17900.0,67000.0,1000.0,162.0
15,IBM,4.1,17800.0,203300.0,1300.0,3000.0
16,Larsen & Toubro Limited,4.0,16800.0,77900.0,919.0,205.0
17,HDB Financial Services,4.0,15800.0,49400.0,502.0,120.0
18,Reliance Retail,3.9,15800.0,54500.0,999.0,254.0
19,Teleperformance,3.6,14900.0,72700.0,991.0,236.0
