,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,Paytm,3.5,4900.0,27700.0,365.0,529.0
1,Bandhan Bank,3.8,4900.0,18100.0,313.0,21.0
2,Bajaj Finance,4.1,4800.0,19000.0,191.0,81.0
3,L&T Infotech,3.8,4700.0,68500.0,366.0,138.0
4,ITC,3.9,4600.0,22700.0,346.0,83.0
5,Indian Army,4.7,4600.0,11000.0,100.0,0.0
6,AU Small Finance Bank,4.2,4600.0,16900.0,236.0,156.0
7,JP Morgan Chase,4.2,4500.0,60300.0,356.0,1100.0
8,FIS,4.0,4500.0,36200.0,272.0,63.0
9,Wells Fargo,4.2,4500.0,39700.0,266.0,174.0
10,Hindustan Unilever,4.2,4400.0,21100.0,207.0,198.0
11,Delhivery,4.0,4400.0,16200.0,254.0,439.0
12,IIFL Finance,3.8,4300.0,17800.0,192.0,155.0
13,Quess,3.9,4300.0,22900.0,234.0,238.0
14,Amazon Development Centre India,4.2,4300.0,4300.0,299.0,24.0
15,Home Credit Finance,4.1,4100.0,12100.0,87.0,114.0
16,TATA Steel,4.1,4100.0,20500.0,391.0,56.0
17,KPMG India,3.6,4100.0,55400.0,451.0,1300.0
18,Hexaware Technologies,3.7,4100.0,41800.0,338.0,316.0
19,Sun Pharmaceutical Industries,4.1,4100.0,19800.0,204.0,98.0
