,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,Vodafone Idea,4.2,14400.0,66900.0,378.0,357.0
1,Deloitte,4.0,12800.0,138700.0,1400.0,344.0
2,BYJU'S,3.2,12600.0,49800.0,1700.0,916.0
3,Kotak Mahindra Bank,3.8,12500.0,74800.0,638.0,177.0
4,Reliance Industries,4.0,11700.0,65200.0,818.0,144.0
5,Bharti Airtel,4.0,10800.0,45700.0,491.0,317.0
6,Tata Motors,4.2,10100.0,43200.0,650.0,19.0
7,Ernst & Young,3.7,8800.0,105300.0,792.0,1700.0
8,Flipkart,4.1,8700.0,45400.0,910.0,398.0
9,WNS,3.6,8500.0,51700.0,636.0,259.0
10,IndusInd Bank,3.7,8100.0,44300.0,365.0,249.0
11,Mahindra & Mahindra,4.1,8100.0,39100.0,421.0,98.0
12,DXC Technology,3.8,7300.0,76400.0,476.0,104.0
13,Infosys BPM,3.9,7300.0,53300.0,608.0,31.0
14,iEnergizer,4.4,7200.0,17300.0,255.0,79.0
15,IDFC FIRST Bank,4.0,6900.0,38200.0,356.0,86.0
16,Conneqt Business Solutions,3.7,6800.0,25100.0,268.0,31.0
17,Bajaj Finserv,4.0,6400.0,24200.0,296.0,46.0
18,Hinduja Global Solutions,4.0,6300.0,26800.0,152.0,62.0
19,HSBC Group,4.1,6300.0,55700.0,321.0,31.0
