,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,Hero MotoCorp,4.2,3600.0,14600.0,219.0,7.0
1,Hewlett-Packard Enterprise,4.3,3600.0,31800.0,158.0,55.0
2,Mahindra & Mahindra Financial Services,4.3,3500.0,10600.0,83.0,55.0
3,Omega Healthcare,3.7,3500.0,19100.0,181.0,85.0
4,L&T Construction,4.0,3500.0,13600.0,370.0,0.0
5,Cyient,3.7,3500.0,24700.0,153.0,279.0
6,Megha Engineering & Infrastructures,4.1,3500.0,13900.0,250.0,44.0
7,Bajaj Allianz Life Insurance,4.1,3400.0,14500.0,174.0,33.0
8,D Mart,3.9,3400.0,13500.0,212.0,92.0
9,Hyundai Motor,4.3,3300.0,13800.0,161.0,18.0
10,Reliance Communications,3.9,3300.0,14500.0,62.0,2.0
11,TVS Motor,4.0,3300.0,14500.0,184.0,52.0
12,BigBasket,4.0,3300.0,14600.0,223.0,20.0
13,Indiamart Intermesh,3.6,3200.0,16500.0,321.0,808.0
14,Oyo Rooms,3.4,3200.0,25000.0,148.0,166.0
15,Bosch,4.3,3200.0,19100.0,193.0,10.0
16,Atos Syntel,3.6,3200.0,34200.0,157.0,29.0
17,Manappuram Finance,4.0,3200.0,7700.0,86.0,1.0
18,SBI Cards & Payment Services,3.7,3100.0,16100.000000000002,151.0,54.0
19,Bosch Global Software Technologies,4.2,3100.0,30500.0,185.0,9.0
