Company,Ratings,Reviews,Salary,Interviews,Jobs
L&T Construction,4.0,3500.0,13600.0,370.0,0.0
Cyient,3.7,3500.0,24700.0,153.0,279.0
Megha Engineering & Infrastructures,4.1,3500.0,13900.0,250.0,44.0
Bajaj Allianz Life Insurance,4.1,3400.0,14500.0,174.0,33.0
D Mart,3.9,3400.0,13500.0,212.0,92.0
Hyundai Motor,4.3,3300.0,13800.0,161.0,18.0
Reliance Communications,3.9,3300.0,14500.0,62.0,2.0
TVS Motor,4.0,3300.0,14500.0,184.0,52.0
BigBasket,4.0,3300.0,14600.0,223.0,20.0
Indiamart Intermesh,3.6,3200.0,16500.0,321.0,808.0
Oyo Rooms,3.4,3200.0,25000.0,148.0,166.0
Bosch,4.3,3200.0,19100.0,193.0,10.0
Atos Syntel,3.6,3200.0,34200.0,157.0,29.0
Manappuram Finance,4.0,3200.0,7700.0,86.0,1.0
SBI Cards & Payment Services,3.7,3100.0,16100.000000000002,151.0,54.0
Bosch Global Software Technologies,4.2,3100.0,30500.0,185.0,9.0
Cummins,4.4,3100.0,14400.0,162.0,15.0
BNY Mellon,4.1,3100.0,26400.0,164.0,768.0
Future Group,4.2,3100.0,12800.0,63.0,16.0
Intelenet Global Services,3.7,3100.0,10200.0,30.0,0.0
SMFG India Credit,4.1,3100.0,10400.0,81.0,71.0
Coforge,3.6,3100.0,28800.0,225.0,171.0
IQVIA,4.1,3100.0,23400.0,246.0,41.0
Nagarro,4.3,3100.0,18600.0,379.0,84.0
Amdocs,4.0,3000.0,30700.0,301.0,6.0
ICICI Lombard General Insurance Company,3.8,3000.0,15000.0,141.0,81.0
UST,3.8,3000.0,32400.0,223.0,166.0
Virtusa Consulting Services,3.8,3000.0,42600.0,260.0,109.0
GlobalLogic,3.8,3000.0,28100.0,257.0,93.0
Schneider Electric,4.1,3000.0,19900.0,177.0,216.0
CBRE,4.2,3000.0,15100.0,130.0,91.0
Samsung,4.1,3000.0,17800.0,282.0,158.0
JBM Group,4.0,2900.0,13200.0,160.0,1.0
Dell,4.1,2900.0,24600.0,212.0,128.0
Ecom Express,4.1,2900.0,8500.0,120.0,46.0
State Bank of India,3.8,2900.0,10700.0,139.0,186.0
Cholamandalam Investment & Finance,4.1,2900.0,9400.0,93.0,12.0
Swiggy,3.9,2800.0,18600.0,208.0,343.0
Bajaj Auto,3.9,2800.0,12800.0,164.0,2.0
Equitas Small Finance Bank,4.1,2800.0,10800.0,96.0,18.0
L&T Technology Services,3.4,2800.0,28000.0,216.0,2.0
Viatris,4.3,2800.0,14400.0,86.0,4.0
SBI Life Insurance Company,3.8,2800.0,10100.0,127.0,2.0
Ekart Logistics,4.1,2800.0,7600.0,178.0,1.0
Samvardhana Motherson Group,3.8,2800.0,14200.0,146.0,73.0
KEC International,4.1,2800.0,10500.0,166.0,4.0
Nagarjuna Construction Company,4.1,2800.0,10700.0,175.0,4.0
Optum,4.1,2800.0,20700.0,228.0,29.0
Aditya Birla Fashion and Retail,4.2,2800.0,12000.0,95.0,51.0
Godrej & Boyce Manufacturing,3.9,2700.0,16900.0,113.0,69.0
Muthoot Fincorp,4.0,2700.0,8000.0,79.0,51.0
Royal Enfield,4.2,2700.0,14500.0,92.0,13.0
Tata Communications,4.2,2700.0,21600.0,150.0,454.0
Piramal Capital Housing Finance,4.3,2700.0,9000.0,118.0,21.0
LG Electronics,4.0,2700.0,10700.0,129.0,6.0
John Deere,4.3,2700.0,13500.0,134.0,0.0
L&T Finance,3.9,2700.0,10700.0,72.0,0.0
Whitehat jr,3.6,2600.0,9400.0,278.0,514.0
Intas Pharmaceuticals,4.2,2600.0,13600.0,120.0,53.0
Thermax Limited,4.2,2600.0,12000.0,132.0,13.0
Varun Beverages,4.0,2600.0,9300.0,121.0,48.0
Ford Motor,4.5,2500.0,14000.0,70.0,84.0
Sodexo,4.1,2500.0,9800.0,91.0,105.0
Hetero Drugs,3.8,2500.0,13200.0,132.0,32.0
UnitedHealth,4.2,2500.0,23300.0,62.0,10.0
Randstad,3.9,2500.0,13000.0,150.0,2300.0
Deutsche Bank,4.1,2500.0,28500.0,192.0,756.0
Abbott Healthcare,4.1,2500.0,10900.0,92.0,213.0
Subros,4.0,2500.0,12000.0,94.0,3.0
Macleods Pharmaceuticals,3.8,2500.0,13100.0,100.0,23.0
VE Commercial Vehicles,4.0,2500.0,12600.0,116.0,10.0
Automatic Data Processing (ADP),4.2,2500.0,19200.0,124.0,46.0
American Express,4.3,2400.0,19200.0,197.0,109.0
CARS24,3.6,2400.0,11400.0,200.0,285.0
Havells,4.1,2400.0,11900.0,97.0,75.0
Pidilite Industries,4.4,2400.0,9000.0,109.0,30.0
Alkem Laboratories,4.0,2400.0,8800.0,106.0,20.0
Bharat Electronics,4.1,2400.0,11200.0,137.0,0.0
Atos,3.8,2400.0,25800.0,155.0,6.0
Team Lease,3.9,2400.0,14200.0,115.0,247.0
Persistent Systems,3.9,2400.0,26800.0,266.0,35.0
Alembic Pharmaceuticals,4.0,2400.0,12900.0,139.0,60.0
Wipro Consumer Care & Lighting,3.8,2400.0,2800.0,38.0,33.0
Indian Air Force,4.6,2400.0,5700.0,27.0,0.0
Hindustan Coca Cola Beverages,4.3,2300.0,7500.0,72.0,63.0
Cgi Group,4.2,2300.0,30200.0,150.0,198.0
Wipro Infotech,4.1,2300.0,19100.0,91.0,0.0
Hindalco Industries,4.2,2300.0,9300.0,101.0,2.0
Axis Direct,4.0,2300.0,8100.0,55.0,29.0
Publicis Sapient,3.6,2300.0,25500.0,274.0,189.0
DCB Bank,3.9,2300.0,8700.0,111.0,139.0
Vishal Mega Mart,3.8,2300.0,7300.0,101.0,5.0
CMS IT Services,3.2,2300.0,11500.0,79.0,7.0
Glenmark Pharmaceuticals,4.0,2300.0,10800.0,75.0,36.0
ABB Group,4.1,2300.0,14900.0,110.0,1.0
Ipca Laboratories,4.0,2300.0,10500.0,95.0,34.0
