,Company,Ratings,Reviews,Salary,Interviews,Jobs
0,Cholamandalam Investment & Finance,4.1,2900.0,9400.0,93.0,12.0
1,Swiggy,3.9,2800.0,18600.0,208.0,343.0
2,Bajaj Auto,3.9,2800.0,12800.0,164.0,2.0
3,Equitas Small Finance Bank,4.1,2800.0,10800.0,96.0,18.0
4,L&T Technology Services,3.4,2800.0,28000.0,216.0,2.0
5,Viatris,4.3,2800.0,14400.0,86.0,4.0
6,SBI Life Insurance Company,3.8,2800.0,10100.0,127.0,2.0
7,Ekart Logistics,4.1,2800.0,7600.0,178.0,1.0
8,Samvardhana Motherson Group,3.8,2800.0,14200.0,146.0,73.0
9,KEC International,4.1,2800.0,10500.0,166.0,4.0
10,Nagarjuna Construction Company,4.1,2800.0,10700.0,175.0,4.0
11,Optum,4.1,2800.0,20700.0,228.0,29.0
12,Aditya Birla Fashion and Retail,4.2,2800.0,12000.0,95.0,51.0
13,Godrej & Boyce Manufacturing,3.9,2700.0,16900.0,113.0,69.0
14,Muthoot Fincorp,4.0,2700.0,8000.0,79.0,51.0
15,Royal Enfield,4.2,2700.0,14500.0,92.0,13.0
16,Tata Communications,4.2,2700.0,21600.0,150.0,454.0
17,Piramal Capital Housing Finance,4.3,2700.0,9000.0,118.0,21.0
18,LG Electronics,4.0,2700.0,10700.0,129.0,6.0
19,John Deere,4.3,2700.0,13500.0,134.0,0.0
